trainerGender;trainerCountry;trainerCountrySub1;trainerId
female;JP;Tokyo;63214
female;US;Pennsylvania;62638
female;US;Wyoming;59459
female;US;Florida;54775
female;FI;;48489
female;US;Arizona;40523
female;US;California;31269
female;US;Pennsylvania;29853
female;US;New Mexico;29578
female;KR;Jeollabuk-do;27156
female;US;Texas;22621
female;GB;England;18401
female;FR;Upper Normandy;18261
female;JP;Tokyo;18170
female;JP;Tokyo;17224
female;US;Texas;16499
female;GB;England;16311
female;DE;Rhineland-Palatinate;15456
female;US;Pennsylvania;14393
female;US;Michigan;13891
female;KR;Busan-gwangyeoski;13884
female;US;Florida;9729
female;JP;Yamaguchi;9129
female;ES;;8305
female;DE;Bavaria;2103
female;US;;70
female;KR;;67
female;JP;;66
female;FR;;64
female;DE;;61
female;CA;;60
female;JP;Tokyo;51
female;US;Tennessee;49
female;JP;Shiga;47
female;JP;Saga;45
female;US;Pennsylvania;44
female;US;Missouri;35
female;GB;England;18
female;JP;Ehime;16
female;US;California;13
female;FR;Burgundy;12
female;US;Arkansas;7
female;AI;Anguilla;4
female;JP;Akita;1
male;JP;Tokyo;63172
male;US;California;63138
male;BR;Minas Gerais;62515
male;GB;England;62158
male;DE;North Rhine-Westphalia;61989
male;JP;Osaka;60442
male;US;Rhode Island;60414
male;US;California;60362
male;US;California;60002
male;US;New Jersey;58878
male;JP;Kanagawa;58760
male;US;Maryland;58310
male;US;Washington;57436
male;US;California;57173
male;US;Maryland;56969
male;JP;;56155
male;JP;;56051
male;NO;Rogaland;55808
male;JP;Tokyo;55761
male;US;Indiana;54192
male;JP;Okinawa;54180
male;JP;Ibaraki;53570
male;US;Missouri;52501
male;IT;;52034
male;MX;Jalisco;50206
male;KR;Busan-gwangyeoski;48749
male;DE;North Rhine-Westphalia;47764
male;FR;Brittany;47507
male;JP;Yamanashi;47445
male;US;New York;46989
male;TT;Arima;45561
male;JP;Chiba;44578
male;US;Georgia;44419
male;GB;England;43610
male;AT;Viena;42534
male;FR;Pays de la Loire;41836
male;JP;Tokyo;36491
male;CA;Ontario;36106
male;FR;Upper Normandy;35308
male;US;;35080
male;JP;;32535
male;US;Maine;31554
male;US;Texas;29139
male;MX;Mexico;28037
male;AI;Anguilla;26672
male;US;Massachusetts;25606
male;MX;Chiapas;23052
male;JP;Aichi;22577
male;GB;England;22210
male;JP;Fukuoka;21059
male;IT;Apulia;20073
male;US;Michigan;19001
male;GB;Scotland;18516
male;JP;Fukushima;17264
male;US;New Jersey;14528
male;US;Georgia;12887
male;DE;Baden-Württemberg;12564
male;JP;Hokkaido;12329
male;JP;Kanagawa;11855
male;US;Texas;11542
male;GB;;10929
male;JP;Kanagawa;9845
male;JP;Aichi;8168
male;US;;7992
male;CA;;7941
male;US;California;6702
male;US;New York;5650
male;US;Washington;5179
male;GB;England;4162
male;US;Oklahoma;3302
male;DE;;1612
male;US;Ohio;783
male;US;;71
male;NZ;;69
male;MX;;68
male;FR;;65
male;ES;;63
male;DE;;62
male;BR;;59
male;BE;;58
male;AU;;57
male;JP;Yamaguchi;56
male;US;West Virginia;55
male;US;Washington;54
male;GB;Wales;53
male;JP;Tokyo;52
male;US;Texas;50
male;US;South Dakota;48
male;JP;Saitama;46
male;US;Ohio;43
male;US;North Carolina;42
male;US;New York;41
male;US;New Jersey ;40
male;US;New Jersey;39
male;US;Nevada;38
male;US;Nebraska;37
male;US;Missouri;36
male;US;Michigan;34
male;MX;Mexico;33
male;US;Kansas;31
male;JP;Kagawa;30
male;US;Illinois;29
male;JP;Hyogo;28
male;JP;Hokkaido;27
male;US;Hawaii;26
male;PL;Greater Poland;25
male;NL;Gelderland;24
male;JP;Fukushima;23
male;NL;Friesland;22
male;US;Florida;21
male;BE;Flanders;20
male;GB;England;19
male;IT;Emilia-Romagna;17
male;MX;Districo Federal;15
male;US;California;14
male;CA;British Columbia;11
male;DE;Bavaria;10
male;US;Arkansas;8
male;FR;Aquitaine;6
male;AI;Anguilla;5
male;CA;Alberta;3
male;US;Alabama;2
;GB;England;40088
;DE;Baviera;19959
;DE;Lower Saxony;32
;DE;Baden-Wurttemberg;9
